    0.000	0
    0.103	1
    0.206	2
    0.308	0
    0.411	0
    0.514	1
    0.617	2
    0.720	20
    0.823	38
    0.925	66
    1.028	57
    1.131	74
    1.234	88
    1.337	78
    1.440	97
    1.542	102
    1.645	111
    1.748	99
    1.851	104
    1.954	98
    2.057	94
    2.159	80
    2.262	97
    2.365	85
    2.468	99
    2.571	90
    2.674	107
    2.776	69
    2.879	95
    2.982	78
    3.085	81
    3.188	70
    3.290	76
    3.393	82
    3.496	93
    3.599	87
    3.702	98
    3.805	66
    3.907	74
    4.010	96
    4.113	95
    4.216	99
    4.319	111
    4.422	110
    4.524	94
    4.627	88
    4.730	97
    4.833	105
    4.936	91
    5.039	92
    5.141	96
    5.244	99
    5.347	86
    5.450	91
    5.553	95
    5.656	79
    5.758	71
    5.861	53
    5.964	74
    6.067	64
    6.170	75
    6.272	61
    6.375	56
    6.478	54
    6.581	57
    6.684	47
    6.787	61
    6.889	60
    6.992	37
    7.095	37
    7.198	47
    7.301	48
    7.404	59
    7.506	50
    7.609	50
    7.712	52
    7.815	65
    7.918	57
    8.021	29
    8.123	49
    8.226	60
    8.329	51
    8.432	47
    8.535	53
    8.638	62
    8.740	66
    8.843	55
    8.946	47
    9.049	41
    9.152	53
    9.254	44
    9.357	57
    9.460	52
    9.563	52
    9.666	58
    9.769	54
    9.871	61
    9.974	55
    10.077	61
    10.180	49
    10.283	47
    10.386	51
    10.488	53
    10.591	43
    10.694	62
    10.797	45
    10.900	53
    11.003	51
    11.105	43
    11.208	41
    11.311	46
    11.414	41
    11.517	46
    11.620	48
    11.722	38
    11.825	55
    11.928	42
    12.031	49
    12.134	45
    12.237	36
    12.339	52
    12.442	69
    12.545	62
    12.648	97
    12.751	111
    12.853	186
    12.956	266
    13.059	190
    13.162	117
    13.265	73
    13.368	64
    13.470	38
    13.573	51
    13.676	35
    13.779	37
    13.882	35
    13.985	34
    14.087	51
    14.190	67
    14.293	176
    14.396	249
    14.499	312
    14.602	196
    14.704	99
    14.807	42
    14.910	36
    15.013	29
    15.116	36
    15.219	30
    15.321	20
    15.424	14
    15.527	30
    15.630	21
    15.733	32
    15.835	37
    15.938	21
    16.041	30
    16.144	26
    16.247	24
    16.350	25
    16.452	22
    16.555	18
    16.658	13
    16.761	16
    16.864	27
    16.967	31
    17.069	20
    17.172	23
    17.275	26
    17.378	24
    17.481	23
    17.584	24
    17.686	19
    17.789	17
    17.892	21
    17.995	20
    18.098	46
    18.201	81
    18.303	150
    18.406	169
    18.509	107
    18.612	52
    18.715	36
    18.817	26
    18.920	19
    19.023	23
    19.126	36
    19.229	28
    19.332	30
    19.434	27
    19.537	25
    19.640	16
    19.743	15
    19.846	20
    19.949	18
    20.051	20
    20.154	24
    20.257	67
    20.360	121
    20.463	196
    20.566	190
    20.668	124
    20.771	58
    20.874	35
    20.977	30
    21.080	32
    21.183	24
    21.285	25
    21.388	30
    21.491	21
    21.594	24
    21.697	17
    21.799	14
    21.902	30
    22.005	30
    22.108	22
    22.211	21
    22.314	39
    22.416	51
    22.519	51
    22.622	65
    22.725	27
    22.828	18
    22.931	22
    23.033	25
    23.136	17
    23.239	22
    23.342	21
    23.445	16
    23.548	18
    23.650	24
    23.753	21
    23.856	30
    23.959	21
    24.062	21
    24.165	25
    24.267	17
    24.370	24
    24.473	27
    24.576	15
    24.679	22
    24.781	20
    24.884	25
    24.987	40
    25.090	68
    25.193	72
    25.296	61
    25.398	42
    25.501	24
    25.604	17
    25.707	16
    25.810	24
    25.913	24
    26.015	41
    26.118	51
    26.221	31
    26.324	27
    26.427	21
    26.530	16
    26.632	21
    26.735	12
    26.838	18
    26.941	28
    27.044	19
    27.147	24
    27.249	16
    27.352	19
    27.455	17
    27.558	21
    27.661	23
    27.763	19
    27.866	20
    27.969	25
    28.072	8
    28.175	20
    28.278	22
    28.380	16
    28.483	24
    28.586	13
    28.689	21
    28.792	17
    28.895	24
    28.997	34
    29.100	88
    29.203	84
    29.306	82
    29.409	56
    29.512	23
    29.614	24
    29.717	22
    29.820	17
    29.923	25
    30.026	15
    30.129	12
    30.231	18
    30.334	22
    30.437	22
    30.540	18
    30.643	14
    30.746	11
    30.848	25
    30.951	20
    31.054	18
    31.157	28
    31.260	16
    31.362	19
    31.465	18
    31.568	21
    31.671	19
    31.774	30
    31.877	33
    31.979	54
    32.082	54
    32.185	30
    32.288	33
    32.391	28
    32.494	41
    32.596	82
    32.699	70
    32.802	60
    32.905	51
    33.008	29
    33.111	20
    33.213	17
    33.316	17
    33.419	14
    33.522	17
    33.625	25
    33.728	17
    33.830	18
    33.933	18
    34.036	21
    34.139	20
    34.242	17
    34.344	11
    34.447	16
    34.550	14
    34.653	11
    34.756	17
    34.859	11
    34.961	15
    35.064	8
    35.167	17
    35.270	23
    35.373	20
    35.476	16
    35.578	26
    35.681	16
    35.784	42
    35.887	52
    35.990	37
    36.093	28
    36.195	28
    36.298	13
    36.401	10
    36.504	17
    36.607	8
    36.710	15
    36.812	16
    36.915	11
    37.018	13
    37.121	27
    37.224	12
    37.326	18
    37.429	16
    37.532	18
    37.635	12
    37.738	10
    37.841	15
    37.943	20
    38.046	14
    38.149	21
    38.252	26
    38.355	10
    38.458	17
    38.560	15
    38.663	11
    38.766	13
    38.869	9
    38.972	18
    39.075	10
    39.177	21
    39.280	10
    39.383	20
    39.486	29
    39.589	20
    39.692	26
    39.794	15
    39.897	11
    40.000	17  
